source,target,time,prob2
23,33,2009-04-21 00:09:18,
23,43,2009-04-21 00:09:18,
23,45,2009-04-21 00:09:18,0
23,77,2009-04-21 00:09:18,0.012
69,72,2009-04-21 00:09:25,0.439
69,79,2009-04-21 00:09:25,0.332
75,56,2009-04-21 00:10:00,0
52,22,2009-04-21 00:10:01,0.028
52,72,2009-04-21 00:10:01,0.03
52,79,2009-04-21 00:10:01,0.011
52,80,2009-04-21 00:10:01,
4,46,2009-04-21 00:10:35,0.039
15,48,2009-04-21 00:11:28,0.641
31,8,2009-04-21 00:11:30,0.133
31,21,2009-04-21 00:11:30,0.355
31,24,2009-04-21 00:11:30,0.25
31,28,2009-04-21 00:11:30,0.028
31,42,2009-04-21 00:11:30,0.112
31,57,2009-04-21 00:11:30,0.409
31,59,2009-04-21 00:11:30,0.082
31,64,2009-04-21 00:11:30,0.163
1,2,2009-04-21 00:12:09,0
1,2,2009-04-21 00:12:09,0
1,24,2009-04-21 00:12:09,
1,24,2009-04-21 00:12:09,
1,61,2009-04-21 00:12:09,0.882
1,61,2009-04-21 00:12:09,0.882
1,64,2009-04-21 00:12:09,0.178
1,64,2009-04-21 00:12:09,0.178
27,8,2009-04-21 00:12:13,0.078
27,31,2009-04-21 00:12:13,0.359
27,57,2009-04-21 00:12:13,0.683
27,64,2009-04-21 00:12:13,0
58,31,2009-04-21 00:12:59,0.426
58,33,2009-04-21 00:12:59,
58,43,2009-04-21 00:12:59,0.21
58,62,2009-04-21 00:12:59,0
5,42,2009-04-21 00:13:16,0.368
5,43,2009-04-21 00:13:16,0.265
5,64,2009-04-21 00:13:16,
5,77,2009-04-21 00:13:16,0.091
72,22,2009-04-21 00:13:25,0.496
72,44,2009-04-21 00:13:25,0.059
72,52,2009-04-21 00:13:25,0.008
72,68,2009-04-21 00:13:25,0.254
72,79,2009-04-21 00:13:25,0.328
72,80,2009-04-21 00:13:25,
18,11,2009-04-21 00:13:49,0.024
18,46,2009-04-21 00:13:49,0.163
18,49,2009-04-21 00:13:49,0.24
18,60,2009-04-21 00:13:49,0.724
18,67,2009-04-21 00:13:49,0.617
46,2,2009-04-21 00:14:31,0.333
46,4,2009-04-21 00:14:31,0.04
46,11,2009-04-21 00:14:31,0.093
46,18,2009-04-21 00:14:31,0.143
46,60,2009-04-21 00:14:31,0.16
23,30,2009-04-21 00:14:33,0.132
23,33,2009-04-21 00:14:33,
23,43,2009-04-21 00:14:33,
23,45,2009-04-21 00:14:33,0
23,62,2009-04-21 00:14:33,0.264
23,77,2009-04-21 00:14:33,0.012
69,72,2009-04-21 00:14:42,0.439
75,56,2009-04-21 00:15:16,0
52,72,2009-04-21 00:15:18,0.03
52,80,2009-04-21 00:15:18,
4,11,2009-04-21 00:15:51,0.133
4,24,2009-04-21 00:15:51,0.142
4,33,2009-04-21 00:15:51,
4,46,2009-04-21 00:15:51,0.039
15,48,2009-04-21 00:16:44,0.641
31,8,2009-04-21 00:17:20,0.133
31,28,2009-04-21 00:17:20,0.028
31,42,2009-04-21 00:17:20,0.112
31,57,2009-04-21 00:17:20,0.409
31,59,2009-04-21 00:17:20,0.082
31,64,2009-04-21 00:17:20,0.163
1,2,2009-04-21 00:17:25,0
1,2,2009-04-21 00:17:25,0
1,24,2009-04-21 00:17:25,
1,24,2009-04-21 00:17:25,
1,61,2009-04-21 00:17:25,0.882
1,61,2009-04-21 00:17:25,0.882
27,8,2009-04-21 00:17:29,0.078
27,31,2009-04-21 00:17:29,0.359
27,57,2009-04-21 00:17:29,0.683
27,64,2009-04-21 00:17:29,0
58,33,2009-04-21 00:18:15,
58,62,2009-04-21 00:18:15,0
5,42,2009-04-21 00:18:31,0.368
5,43,2009-04-21 00:18:31,0.265
5,64,2009-04-21 00:18:31,
5,77,2009-04-21 00:18:31,0.091
72,22,2009-04-21 00:18:42,0.496
72,35,2009-04-21 00:18:42,0.391
72,44,2009-04-21 00:18:42,0.059
72,52,2009-04-21 00:18:42,0.008
72,68,2009-04-21 00:18:42,0.254
18,49,2009-04-21 00:19:04,0.24
18,60,2009-04-21 00:19:04,0.724
23,30,2009-04-21 00:19:48,0.132
23,33,2009-04-21 00:19:48,
23,43,2009-04-21 00:19:48,
23,45,2009-04-21 00:19:48,0
23,77,2009-04-21 00:19:48,0.012
69,22,2009-04-21 00:19:59,0.342
69,35,2009-04-21 00:19:59,0.384
69,72,2009-04-21 00:19:59,0.439
75,56,2009-04-21 00:20:32,0
52,72,2009-04-21 00:20:35,0.03
15,48,2009-04-21 00:22:00,0.641
1,2,2009-04-21 00:22:42,0
1,2,2009-04-21 00:22:42,0
1,24,2009-04-21 00:22:42,
1,24,2009-04-21 00:22:42,
1,61,2009-04-21 00:22:42,0.882
1,61,2009-04-21 00:22:42,0.882
27,8,2009-04-21 00:22:45,0.078
27,31,2009-04-21 00:22:45,0.359
27,42,2009-04-21 00:22:45,0.01
27,57,2009-04-21 00:22:45,0.683
27,64,2009-04-21 00:22:45,0
31,8,2009-04-21 00:23:05,0.133
31,20,2009-04-21 00:23:05,0.151
31,42,2009-04-21 00:23:05,0.112
31,57,2009-04-21 00:23:05,0.409
31,59,2009-04-21 00:23:05,0.082
31,62,2009-04-21 00:23:05,0.032
31,64,2009-04-21 00:23:05,0.163
58,8,2009-04-21 00:23:31,0.058
58,24,2009-04-21 00:23:31,
58,31,2009-04-21 00:23:31,0.426
58,33,2009-04-21 00:23:31,
58,57,2009-04-21 00:23:31,0.233
58,59,2009-04-21 00:23:31,0
58,62,2009-04-21 00:23:31,0
58,64,2009-04-21 00:23:31,
5,42,2009-04-21 00:23:46,0.368
5,43,2009-04-21 00:23:46,0.265
5,64,2009-04-21 00:23:46,
5,77,2009-04-21 00:23:46,0.091
72,22,2009-04-21 00:23:59,0.496
72,44,2009-04-21 00:23:59,0.059
72,52,2009-04-21 00:23:59,0.008
72,80,2009-04-21 00:23:59,
18,49,2009-04-21 00:24:19,0.24
18,60,2009-04-21 00:24:19,0.724
18,67,2009-04-21 00:24:19,0.617
64,8,2009-04-21 00:24:19,
64,20,2009-04-21 00:24:19,0
64,28,2009-04-21 00:24:19,
64,30,2009-04-21 00:24:19,
64,31,2009-04-21 00:24:19,0.543
64,42,2009-04-21 00:24:19,
64,57,2009-04-21 00:24:19,
64,58,2009-04-21 00:24:19,
64,59,2009-04-21 00:24:19,
64,62,2009-04-21 00:24:19,0
64,79,2009-04-21 00:24:19,
23,20,2009-04-21 00:25:03,0.07
23,30,2009-04-21 00:25:03,0.132
23,33,2009-04-21 00:25:03,
23,43,2009-04-21 00:25:03,
23,45,2009-04-21 00:25:03,0
23,62,2009-04-21 00:25:03,0.264
23,77,2009-04-21 00:25:03,0.012
23,79,2009-04-21 00:25:03,0.319
69,22,2009-04-21 00:25:16,0.342
69,35,2009-04-21 00:25:16,0.384
69,72,2009-04-21 00:25:16,0.439
75,56,2009-04-21 00:25:48,0
52,22,2009-04-21 00:25:52,0.028
52,72,2009-04-21 00:25:52,0.03
52,75,2009-04-21 00:25:52,0.077
15,48,2009-04-21 00:27:16,0.641
1,2,2009-04-21 00:27:59,0
1,2,2009-04-21 00:27:59,0
1,20,2009-04-21 00:27:59,0.107
1,20,2009-04-21 00:27:59,0.107
1,24,2009-04-21 00:27:59,
1,24,2009-04-21 00:27:59,
1,61,2009-04-21 00:27:59,0.882
1,61,2009-04-21 00:27:59,0.882
1,64,2009-04-21 00:27:59,0.178
1,64,2009-04-21 00:27:59,0.178
31,8,2009-04-21 00:28:41,0.133
31,42,2009-04-21 00:28:41,0.112
31,57,2009-04-21 00:28:41,0.409
31,59,2009-04-21 00:28:41,0.082
31,62,2009-04-21 00:28:41,0.032
31,64,2009-04-21 00:28:41,0.163
31,79,2009-04-21 00:28:41,0.025
58,1,2009-04-21 00:28:47,0.238
58,24,2009-04-21 00:28:47,
58,61,2009-04-21 00:28:47,0.312
5,42,2009-04-21 00:29:01,0.368
5,43,2009-04-21 00:29:01,0.265
5,64,2009-04-21 00:29:01,
68,22,2009-04-21 00:29:07,0.263
68,35,2009-04-21 00:29:07,0.256
68,72,2009-04-21 00:29:07,0.333
44,20,2009-04-21 00:29:11,0.081
44,23,2009-04-21 00:29:11,0.06
44,30,2009-04-21 00:29:11,0.145
44,33,2009-04-21 00:29:11,
44,43,2009-04-21 00:29:11,0.167
44,62,2009-04-21 00:29:11,0.125
72,22,2009-04-21 00:29:16,0.496
72,80,2009-04-21 00:29:16,
64,8,2009-04-21 00:29:22,
64,20,2009-04-21 00:29:22,0
64,30,2009-04-21 00:29:22,
64,31,2009-04-21 00:29:22,0.543
64,42,2009-04-21 00:29:22,
64,57,2009-04-21 00:29:22,
64,59,2009-04-21 00:29:22,
64,62,2009-04-21 00:29:22,0
18,11,2009-04-21 00:29:34,0.024
18,49,2009-04-21 00:29:34,0.24
18,60,2009-04-21 00:29:34,0.724
18,67,2009-04-21 00:29:34,0.617
23,20,2009-04-21 00:30:20,0.07
23,30,2009-04-21 00:30:20,0.132
23,33,2009-04-21 00:30:20,
23,43,2009-04-21 00:30:20,
23,44,2009-04-21 00:30:20,0.093
23,45,2009-04-21 00:30:20,0
23,62,2009-04-21 00:30:20,0.264
23,77,2009-04-21 00:30:20,0.012
69,72,2009-04-21 00:30:33,0.439
75,56,2009-04-21 00:31:04,0
52,22,2009-04-21 00:31:09,0.028
52,72,2009-04-21 00:31:09,0.03
15,48,2009-04-21 00:32:32,0.641
1,2,2009-04-21 00:33:16,0
1,2,2009-04-21 00:33:16,0
1,24,2009-04-21 00:33:16,
1,24,2009-04-21 00:33:16,
1,61,2009-04-21 00:33:16,0.882
1,61,2009-04-21 00:33:16,0.882
27,8,2009-04-21 00:33:17,0.078
27,31,2009-04-21 00:33:17,0.359
27,42,2009-04-21 00:33:17,0.01
58,24,2009-04-21 00:34:03,
58,33,2009-04-21 00:34:03,
58,59,2009-04-21 00:34:03,0
58,61,2009-04-21 00:34:03,0.312
58,62,2009-04-21 00:34:03,0
31,8,2009-04-21 00:34:14,0.133
31,20,2009-04-21 00:34:14,0.151
31,42,2009-04-21 00:34:14,0.112
31,57,2009-04-21 00:34:14,0.409
31,59,2009-04-21 00:34:14,0.082
31,62,2009-04-21 00:34:14,0.032
31,64,2009-04-21 00:34:14,0.163
5,42,2009-04-21 00:34:16,0.368
5,43,2009-04-21 00:34:16,0.265
5,64,2009-04-21 00:34:16,
44,20,2009-04-21 00:34:27,0.081
44,23,2009-04-21 00:34:27,0.06
44,33,2009-04-21 00:34:27,
44,43,2009-04-21 00:34:27,0.167
44,49,2009-04-21 00:34:27,
44,59,2009-04-21 00:34:27,0
44,62,2009-04-21 00:34:27,0.125
72,22,2009-04-21 00:34:33,0.496
72,52,2009-04-21 00:34:33,0.008
72,68,2009-04-21 00:34:33,0.254
72,80,2009-04-21 00:34:33,
18,11,2009-04-21 00:34:49,0.024
18,49,2009-04-21 00:34:49,0.24
18,60,2009-04-21 00:34:49,0.724
18,67,2009-04-21 00:34:49,0.617
68,22,2009-04-21 00:34:54,0.263
68,72,2009-04-21 00:34:54,0.333
22,72,2009-04-21 00:35:04,0.624
69,72,2009-04-21 00:35:50,0.439
23,30,2009-04-21 00:36:11,0.132
23,33,2009-04-21 00:36:11,
23,35,2009-04-21 00:36:11,0.032
23,43,2009-04-21 00:36:11,
23,44,2009-04-21 00:36:11,0.093
23,45,2009-04-21 00:36:11,0
23,77,2009-04-21 00:36:11,0.012
75,56,2009-04-21 00:36:20,0
52,72,2009-04-21 00:36:26,0.03
52,80,2009-04-21 00:36:26,
15,48,2009-04-21 00:37:39,0.641
1,2,2009-04-21 00:38:33,0
1,2,2009-04-21 00:38:33,0
1,24,2009-04-21 00:38:33,
1,24,2009-04-21 00:38:33,
1,61,2009-04-21 00:38:33,0.882
1,61,2009-04-21 00:38:33,0.882
27,8,2009-04-21 00:38:33,0.078
27,31,2009-04-21 00:38:33,0.359
27,42,2009-04-21 00:38:33,0.01
27,57,2009-04-21 00:38:33,0.683
58,1,2009-04-21 00:39:19,0.238
58,24,2009-04-21 00:39:19,
58,33,2009-04-21 00:39:19,
58,61,2009-04-21 00:39:19,0.312
7,4,2009-04-21 00:39:29,0.448
5,42,2009-04-21 00:39:31,0.368
5,43,2009-04-21 00:39:31,0.265
5,64,2009-04-21 00:39:31,
5,77,2009-04-21 00:39:31,0.091
44,20,2009-04-21 00:39:43,0.081
44,23,2009-04-21 00:39:43,0.06
44,30,2009-04-21 00:39:43,0.145
44,33,2009-04-21 00:39:43,
44,43,2009-04-21 00:39:43,0.167
44,59,2009-04-21 00:39:43,0
44,62,2009-04-21 00:39:43,0.125
44,77,2009-04-21 00:39:43,
31,8,2009-04-21 00:39:48,0.133
31,20,2009-04-21 00:39:48,0.151
31,28,2009-04-21 00:39:48,0.028
31,42,2009-04-21 00:39:48,0.112
31,57,2009-04-21 00:39:48,0.409
31,59,2009-04-21 00:39:48,0.082
31,62,2009-04-21 00:39:48,0.032
31,64,2009-04-21 00:39:48,0.163
72,52,2009-04-21 00:39:50,0.008
72,68,2009-04-21 00:39:50,0.254
72,80,2009-04-21 00:39:50,
18,11,2009-04-21 00:40:04,0.024
18,49,2009-04-21 00:40:04,0.24
18,60,2009-04-21 00:40:04,0.724
18,67,2009-04-21 00:40:04,0.617
4,7,2009-04-21 00:40:57,0.425
69,9,2009-04-21 00:41:07,0.244
69,72,2009-04-21 00:41:07,0.439
64,5,2009-04-21 00:41:33,
64,42,2009-04-21 00:41:33,
64,62,2009-04-21 00:41:33,0
75,56,2009-04-21 00:41:36,0
52,72,2009-04-21 00:41:43,0.03
52,80,2009-04-21 00:41:43,
23,20,2009-04-21 00:42:26,0.07
23,33,2009-04-21 00:42:26,
23,43,2009-04-21 00:42:26,
23,44,2009-04-21 00:42:26,0.093
23,45,2009-04-21 00:42:26,0
23,77,2009-04-21 00:42:26,0.012
15,48,2009-04-21 00:42:55,0.641
27,8,2009-04-21 00:43:49,0.078
27,31,2009-04-21 00:43:49,0.359
27,57,2009-04-21 00:43:49,0.683
1,2,2009-04-21 00:43:50,0
1,2,2009-04-21 00:43:50,0
1,24,2009-04-21 00:43:50,
1,24,2009-04-21 00:43:50,
1,61,2009-04-21 00:43:50,0.882
1,61,2009-04-21 00:43:50,0.882
58,24,2009-04-21 00:44:34,
58,33,2009-04-21 00:44:34,
58,61,2009-04-21 00:44:34,0.312
58,62,2009-04-21 00:44:34,0
5,42,2009-04-21 00:44:46,0.368
5,43,2009-04-21 00:44:46,0.265
5,64,2009-04-21 00:44:46,
7,4,2009-04-21 00:44:49,0.448
44,11,2009-04-21 00:44:59,0.255
44,20,2009-04-21 00:44:59,0.081
44,23,2009-04-21 00:44:59,0.06
44,30,2009-04-21 00:44:59,0.145
44,33,2009-04-21 00:44:59,
44,43,2009-04-21 00:44:59,0.167
44,49,2009-04-21 00:44:59,
44,59,2009-04-21 00:44:59,0
44,62,2009-04-21 00:44:59,0.125
44,77,2009-04-21 00:44:59,
72,9,2009-04-21 00:45:07,
72,52,2009-04-21 00:45:07,0.008
72,68,2009-04-21 00:45:07,0.254
72,80,2009-04-21 00:45:07,
18,22,2009-04-21 00:45:19,0.6
18,49,2009-04-21 00:45:19,0.24
18,60,2009-04-21 00:45:19,0.724
31,8,2009-04-21 00:45:23,0.133
31,24,2009-04-21 00:45:23,0.25
31,30,2009-04-21 00:45:23,0.06
31,42,2009-04-21 00:45:23,0.112
31,57,2009-04-21 00:45:23,0.409
31,59,2009-04-21 00:45:23,0.082
31,62,2009-04-21 00:45:23,0.032
4,7,2009-04-21 00:46:12,0.425
69,9,2009-04-21 00:46:14,0.244
69,72,2009-04-21 00:46:14,0.439
64,5,2009-04-21 00:46:36,
64,42,2009-04-21 00:46:36,
64,43,2009-04-21 00:46:36,
64,62,2009-04-21 00:46:36,0
75,56,2009-04-21 00:46:52,0
52,72,2009-04-21 00:47:00,0.03
52,80,2009-04-21 00:47:00,
15,48,2009-04-21 00:48:11,0.641
23,20,2009-04-21 00:48:53,0.07
23,30,2009-04-21 00:48:53,0.132
23,33,2009-04-21 00:48:53,
23,43,2009-04-21 00:48:53,
23,44,2009-04-21 00:48:53,0.093
23,45,2009-04-21 00:48:53,0
23,77,2009-04-21 00:48:53,0.012
27,8,2009-04-21 00:49:05,0.078
27,31,2009-04-21 00:49:05,0.359
27,42,2009-04-21 00:49:05,0.01
27,57,2009-04-21 00:49:05,0.683
1,2,2009-04-21 00:49:07,0
1,2,2009-04-21 00:49:07,0
1,24,2009-04-21 00:49:07,
1,24,2009-04-21 00:49:07,
1,61,2009-04-21 00:49:07,0.882
1,61,2009-04-21 00:49:07,0.882
58,24,2009-04-21 00:49:50,
58,33,2009-04-21 00:49:50,
58,61,2009-04-21 00:49:50,0.312
5,42,2009-04-21 00:50:01,0.368
5,43,2009-04-21 00:50:01,0.265
5,64,2009-04-21 00:50:01,
5,77,2009-04-21 00:50:01,0.091
7,4,2009-04-21 00:50:08,0.448
44,11,2009-04-21 00:50:15,0.255
44,20,2009-04-21 00:50:15,0.081
44,23,2009-04-21 00:50:15,0.06
44,30,2009-04-21 00:50:15,0.145
44,33,2009-04-21 00:50:15,
44,43,2009-04-21 00:50:15,0.167
44,62,2009-04-21 00:50:15,0.125
44,77,2009-04-21 00:50:15,
72,9,2009-04-21 00:50:24,
72,52,2009-04-21 00:50:24,0.008
72,68,2009-04-21 00:50:24,0.254
72,80,2009-04-21 00:50:24,
18,11,2009-04-21 00:50:34,0.024
18,22,2009-04-21 00:50:34,0.6
18,49,2009-04-21 00:50:34,0.24
18,60,2009-04-21 00:50:34,0.724
18,67,2009-04-21 00:50:34,0.617
31,8,2009-04-21 00:51:11,0.133
31,20,2009-04-21 00:51:11,0.151
31,24,2009-04-21 00:51:11,0.25
31,27,2009-04-21 00:51:11,0.453
31,28,2009-04-21 00:51:11,0.028
31,30,2009-04-21 00:51:11,0.06
31,42,2009-04-21 00:51:11,0.112
31,57,2009-04-21 00:51:11,0.409
31,59,2009-04-21 00:51:11,0.082
31,62,2009-04-21 00:51:11,0.032
4,7,2009-04-21 00:51:27,0.425
69,9,2009-04-21 00:51:31,0.244
69,72,2009-04-21 00:51:31,0.439
64,5,2009-04-21 00:51:51,
64,42,2009-04-21 00:51:51,
75,49,2009-04-21 00:52:08,
75,56,2009-04-21 00:52:08,0
52,72,2009-04-21 00:52:17,0.03
15,48,2009-04-21 00:53:27,0.641
27,8,2009-04-21 00:54:21,0.078
27,31,2009-04-21 00:54:21,0.359
27,57,2009-04-21 00:54:21,0.683
1,2,2009-04-21 00:54:24,0
1,2,2009-04-21 00:54:24,0
1,24,2009-04-21 00:54:24,
1,24,2009-04-21 00:54:24,
1,61,2009-04-21 00:54:24,0.882
1,61,2009-04-21 00:54:24,0.882
58,24,2009-04-21 00:55:06,
58,33,2009-04-21 00:55:06,
58,61,2009-04-21 00:55:06,0.312
5,42,2009-04-21 00:55:16,0.368
5,43,2009-04-21 00:55:16,0.265
5,64,2009-04-21 00:55:16,
5,77,2009-04-21 00:55:16,0.091
7,4,2009-04-21 00:55:26,0.448
44,11,2009-04-21 00:55:31,0.255
44,20,2009-04-21 00:55:31,0.081
44,23,2009-04-21 00:55:31,0.06
44,30,2009-04-21 00:55:31,0.145
44,33,2009-04-21 00:55:31,
44,43,2009-04-21 00:55:31,0.167
44,62,2009-04-21 00:55:31,0.125
44,64,2009-04-21 00:55:31,0.5
72,9,2009-04-21 00:55:41,
72,52,2009-04-21 00:55:41,0.008
72,80,2009-04-21 00:55:41,
23,33,2009-04-21 00:55:43,
23,44,2009-04-21 00:55:43,0.093
23,45,2009-04-21 00:55:43,0
23,77,2009-04-21 00:55:43,0.012
18,22,2009-04-21 00:55:49,0.6
18,49,2009-04-21 00:55:49,0.24
18,60,2009-04-21 00:55:49,0.724
18,67,2009-04-21 00:55:49,0.617
4,7,2009-04-21 00:56:43,0.425
69,9,2009-04-21 00:56:48,0.244
69,72,2009-04-21 00:56:48,0.439
31,8,2009-04-21 00:56:58,0.133
31,20,2009-04-21 00:56:58,0.151
31,27,2009-04-21 00:56:58,0.453
31,33,2009-04-21 00:56:58,
31,42,2009-04-21 00:56:58,0.112
31,57,2009-04-21 00:56:58,0.409
31,59,2009-04-21 00:56:58,0.082
64,5,2009-04-21 00:57:06,
64,43,2009-04-21 00:57:06,
64,62,2009-04-21 00:57:06,0
68,35,2009-04-21 00:57:06,0.256
68,72,2009-04-21 00:57:06,0.333
75,56,2009-04-21 00:57:24,0
52,72,2009-04-21 00:57:34,0.03
52,80,2009-04-21 00:57:34,
15,48,2009-04-21 00:58:39,0.641
27,8,2009-04-21 00:59:37,0.078
27,31,2009-04-21 00:59:37,0.359
27,42,2009-04-21 00:59:37,0.01
27,57,2009-04-21 00:59:37,0.683
1,2,2009-04-21 00:59:41,0
1,2,2009-04-21 00:59:41,0
1,24,2009-04-21 00:59:41,
1,24,2009-04-21 00:59:41,
1,61,2009-04-21 00:59:41,0.882
1,61,2009-04-21 00:59:41,0.882
58,24,2009-04-21 01:00:22,
58,33,2009-04-21 01:00:22,
58,61,2009-04-21 01:00:22,0.312
5,42,2009-04-21 01:00:31,0.368
5,43,2009-04-21 01:00:31,0.265
5,64,2009-04-21 01:00:31,
5,77,2009-04-21 01:00:31,0.091
44,11,2009-04-21 01:00:47,0.255
44,20,2009-04-21 01:00:47,0.081
44,23,2009-04-21 01:00:47,0.06
44,30,2009-04-21 01:00:47,0.145
44,33,2009-04-21 01:00:47,
44,43,2009-04-21 01:00:47,0.167
44,49,2009-04-21 01:00:47,
44,62,2009-04-21 01:00:47,0.125
44,77,2009-04-21 01:00:47,
72,9,2009-04-21 01:00:56,
72,35,2009-04-21 01:00:56,0.391
72,52,2009-04-21 01:00:56,0.008
72,68,2009-04-21 01:00:56,0.254
72,80,2009-04-21 01:00:56,
18,11,2009-04-21 01:01:04,0.024
18,22,2009-04-21 01:01:04,0.6
18,49,2009-04-21 01:01:04,0.24
18,60,2009-04-21 01:01:04,0.724
18,67,2009-04-21 01:01:04,0.617
69,35,2009-04-21 01:02:05,0.384
69,72,2009-04-21 01:02:05,0.439
64,5,2009-04-21 01:02:21,
64,42,2009-04-21 01:02:21,
64,62,2009-04-21 01:02:21,0
75,56,2009-04-21 01:02:32,0
31,8,2009-04-21 01:02:47,0.133
31,20,2009-04-21 01:02:47,0.151
